id,sku,name,price,short_url,original_price,discount,discount_rate,review_count,rating_average
75307228,9038823919989,Sách OSHO Yêu - Being In Love - Yêu Trong Tỉnh Thức,114000,https://tiki.vn/product-p75307228.html?spid=75307229,168000,54000,32,2119,5.0
53720978,6532535006072,"Trong Cái Không Có Gì Không ? (Thiền Sư Thích Nhất Hạnh Trả Lời Cho Trẻ Em Những Thắc Mắc Về Ý Nghĩa Cuộc Sống, Về Cái Chết, Về Gia Đình, Bạn Bè Và Nhiều Câu Hỏi Khác)",104000,https://tiki.vn/product-p53720978.html?spid=53720979,160000,56000,35,471,5.0
52788072,9010512370783,Chiến Binh Cầu Vồng (Tái Bản 2020),68670,https://tiki.vn/product-p52788072.html?spid=52788073,109000,40330,37,3443,4.8
49747007,9900865226977,Hai Mặt Của Gia Đình,68900,https://tiki.vn/product-p49747007.html?spid=49747008,98000,29100,30,1898,4.8
26114399,6851692325469,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",64900,https://tiki.vn/product-p26114399.html?spid=26114400,89000,24100,27,7242,4.8
20917699,5242513079264,Làm Sao Học Ít Hiểu Nhiều,98600,https://tiki.vn/product-p20917699.html?spid=20917700,128000,29400,23,543,4.8
19792256,3274339512467,Chuyện Con Mèo Dạy Hải Âu Bay (Tái Bản 2019),31850,https://tiki.vn/product-p19792256.html?spid=19792257,49000,17150,35,2784,5.0
10005245,2496196333059,Đàn Ông Sao Hỏa Đàn Bà Sao Kim,131900,https://tiki.vn/product-p10005245.html?spid=10005246,188000,56100,30,4181,4.8
8885995,8671611615413,Sự Im Lặng Của Bầy Cừu (Tái Bản),74750,https://tiki.vn/product-p8885995.html?spid=8885996,115000,40250,35,2723,4.8
7833728,3908993025659,Dạy Con Làm Giàu (Tập 1) - Để Không Có Tiền Vẫn Tạo Ra Tiền - Cha Giàu Cha Nghèo (Tái Bản),80000,https://tiki.vn/product-p7833728.html?spid=207718377,80000,0,0,2,5.0
3014291,8142774115435,Máy Tính Khoa Học Casio FX-580VN X,707100,https://tiki.vn/product-p3014291.html?spid=3014293,799700,92600,12,5608,4.8
276333509,5048405551295,Cherry Magic (Tập 12),94900,https://tiki.vn/product-p276333509.html?spid=276333624,109000,14100,13,12,5.0
276091633,5704927487115,Hải quỳ ( Bối Khách Bang),122850,https://tiki.vn/product-p276091633.html?spid=276091634,189000,66150,35,12,5.0
275264393,6874904987700,Chia sẻ từ trái tim,112000,https://tiki.vn/product-p275264393.html?spid=275264394,168000,56000,33,119,5.0
273819808,3092195659088,Tâm Lý Học Về Tiền,117180,https://tiki.vn/product-p273819808.html?spid=75953558,189000,71820,38,3632,4.8
272000024,2936371267927,MBA bằng hình (Trọn gói hai năm kiến thức quản trị kinh doanh qua trực quan sinh động),113400,https://tiki.vn/product-p272000024.html?spid=272000026,189000,75600,40,210,5.0
261982682,6845440232938,Cuộc cách mạng Glucose,101000,https://tiki.vn/product-p261982682.html?spid=261982684,158000,57000,36,54,5.0
249875150,2270726656552,Hai số phận (bìa mềm),124000,https://tiki.vn/product-p249875150.html?spid=249875152,195000,71000,36,117,5.0
197587856,7936007640722,Kẻ Thù Không Đội Trời Chung Của Tôi Cuối Cùng Cũng Phá Sản – Tập 1 + 2,240000,https://tiki.vn/product-p197587856.html?spid=197587863,315000,75000,24,144,4.8
197344441,6903620022622,Như Cơn Gió Thoảng - Nghĩ Về Những Qui Luật Cuộc Sống,78240,https://tiki.vn/product-p197344441.html?spid=197344444,115000,36760,32,30,5.0
196851308,7698977658566,Dragon Ball Full Color - Phần Năm: Truy Lùng Cell Bọ Hung - Tập 4,84000,https://tiki.vn/product-p196851308.html?spid=273790699,84000,0,0,0,0.0
194205608,3224291603602,Cherry Magic - Tập 2,92700,https://tiki.vn/product-p194205608.html?spid=194205614,109000,16300,15,288,5.0
192124399,8769644070297,Blue Period Tập 2,44000,https://tiki.vn/product-p192124399.html?spid=192124400,48000,4000,8,469,5.0
192115858,8517155595120,Chú Thuật Hồi Chiến -  Tập 5,29000,https://tiki.vn/product-p192115858.html?spid=192115861,30000,1000,3,924,5.0
185067342,8159930042043,Tô Bình Yên Vẽ Hạnh Phúc (Tái Bản),62100,https://tiki.vn/product-p185067342.html?spid=185067343,88000,25900,29,410,5.0
